"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.58886	0	0
1	0.58928	0	0
2	-0.5091	0.16358	0
3	-0.51124	0.16035	0
4	-0.51408	0.15611	0
5	-0.51871	0.14879	0
6	-0.51884	0.1486	0
7	-0.52413	0.1401	0
8	-0.52498	0.13871	0
9	-0.534	0.12323	0
10	-0.53482	0.12151	0
11	-0.53316	0.12474	0
12	-0.52955	0.13208	0
13	-0.49257	0.18854	0
14	-0.49752	0.18163	0
15	-0.4815	0.20364	0
16	-0.48322	0.20147	0
17	-0.48861	0.19407	0
18	-0.47465	0.21232	0
19	-0.49052	0.19145	0
20	-0.491	0.19073	0
21	-0.5036	0.17268	0
22	-0.50358	0.1727	0
23	-0.50359	0.17269	0
24	-0.54626	0.10066	0
25	-0.54876	0.095551	0
26	-0.53842	0.11453	0
27	-0.54107	0.10981	0
28	-0.55272	0.087371	0
29	-0.55346	0.085917	0
30	-0.58823	0.002587	0
31	-0.58608	0.010036	0
32	-0.51948	0.14755	0
33	-0.38742	0.30228	0
34	-0.39334	0.29731	0
35	-0.41121	0.28087	0
36	-0.41573	0.27621	0
37	-0.41842	0.27383	0
38	-0.42493	0.26769	0
39	-0.43075	0.26227	0
40	-0.46692	0.22203	0
41	-0.47291	0.21454	0
42	-0.44915	0.24217	0
43	-0.45644	0.23437	0
44	-0.46433	0.22513	0
45	-0.39405	0.29669	0
46	-0.4012	0.29035	0
47	-0.42198	0.27095	0
48	-0.43231	0.26065	0
49	-0.43734	0.25507	0
50	-0.32221	0.35094	0
51	-0.33011	0.3459	0
52	-0.33127	0.34511	0
53	-0.33655	0.34104	0
54	-0.34291	0.33695	0
55	-0.35659	0.32659	0
56	-0.36026	0.3237	0
57	-0.37639	0.31143	0
58	-0.37993	0.3087	0
59	-0.40242	0.28919	0
60	-0.40499	0.28663	0
61	-0.40911	0.28271	0
62	-0.3217	0.3513	0
63	-0.32197	0.35111	0
64	-0.29802	0.36535	0
65	-0.29807	0.36532	0
66	-0.25159	0.38908	0
67	-0.25967	0.38545	0
68	-0.26576	0.38235	0
69	-0.27125	0.37938	0
70	-0.27511	0.3774	0
71	-0.28077	0.37457	0
72	-0.28447	0.37277	0
73	-0.17176	0.41983	0
74	-0.17234	0.41965	0
75	-0.16069	0.42298	0
76	-0.43987	0.25225	0
77	-0.44531	0.24633	0
78	-0.44862	0.24276	0
79	-0.44057	0.25155	0
80	-0.36427	0.32045	0
81	-0.36971	0.31648	0
82	-0.37211	0.31481	0
83	-0.38163	0.3072	0
84	-0.22125	0.40256	0
85	-0.22264	0.40207	0
86	-0.2236	0.40167	0
87	-0.23214	0.39827	0
88	-0.24653	0.39177	0
89	-0.23648	0.39632	0
90	-0.24145	0.39407	0
91	-0.57206	0.04533	0
92	-0.57428	0.040028	0
93	-0.5695	0.051041	0
94	-0.55918	0.073514	0
95	-0.56283	0.065722	0
96	-0.55526	0.081871	0
97	-0.55813	0.075587	0
98	-0.56455	0.061983	0
99	-0.5442	0.10452	0
100	-0.58393	0.015963	0
101	-0.58283	0.018749	0
102	-0.57892	0.028759	0
103	-0.58024	0.024987	0
104	-0.56752	0.055587	0
105	-0.57636	0.03479	0
106	-0.4578	0.23275	0
107	-0.18399	0.41593	0
108	-0.19473	0.41249	0
109	-0.19601	0.41205	0
110	-0.20496	0.409	0
111	-0.35278	0.32956	0
112	-0.34576	0.33491	0
113	-0.34445	0.33588	0
114	-0.31128	0.35785	0
115	-0.31423	0.3562	0
116	-0.26177	0.38454	0
117	-0.21397	0.4056	0
118	-0.2076	0.40788	0
119	-0.093461	0.4376	0
120	-0.10141	0.436	0
121	-0.081203	0.43926	0
122	-0.086588	0.43847	0
123	-0.045972	0.44335	0
124	-0.046832	0.4433	0
125	-0.28971	0.37011	0
126	-0.29815	0.36527	0
127	-0.3065	0.36044	0
128	-0.11888	0.43254	0
129	-0.1257	0.43135	0
130	-0.11494	0.43343	0
131	-0.14916	0.42626	0
132	-0.15849	0.42361	0
133	-0.10612	0.43507	0
134	-0.13142	0.43017	0
135	-0.13699	0.42912	0
136	-0.14389	0.42748	0
137	-0.057986	0.44252	0
138	-0.059745	0.44233	0
139	0.051386	0.44311	0
140	0.040675	0.44419	0
141	0.040458	0.4442	0
142	0.033713	0.44426	0
143	0.0066055	0.44504	0
144	0.00045841	0.44508	0
145	-0.0037174	0.44523	0
146	-0.012134	0.44495	0
147	-0.012273	0.44495	0
148	-0.02213	0.44497	0
149	-0.023725	0.44495	0
150	0.028142	0.44431	0
151	0.027962	0.44431	0
152	-0.035245	0.44483	0
153	-0.069646	0.44076	0
154	-0.073521	0.44023	0
155	-0.030835	0.44493	0
156	-0.034454	0.44484	0
157	-0.18366	0.41603	0
158	0.014089	0.44487	0
159	0.017883	0.4448	0
160	0.155	0.42504	0
161	0.15346	0.42531	0
162	0.14435	0.42747	0
163	0.14162	0.4279	0
164	0.13452	0.4295	0
165	0.13091	0.43084	0
166	0.12487	0.43231	0
167	0.11987	0.43329	0
168	0.11255	0.43538	0
169	0.060196	0.44147	0
170	0.053274	0.443	0
171	0.071077	0.4408	0
172	0.062298	0.44112	0
173	0.080601	0.43967	0
174	0.072558	0.44059	0
175	0.090689	0.43859	0
176	0.086273	0.43924	0
177	0.099854	0.43726	0
178	0.39767	0.29366	0
179	0.39719	0.29412	0
180	0.41041	0.28207	0
181	0.40604	0.28609	0
182	0.53294	0.12469	0
183	0.53164	0.127	0
184	0.52546	0.13734	0
185	0.52007	0.14622	0
186	0.57555	0.037176	0
187	0.57522	0.037953	0
188	0.57626	0.035203	0
189	0.56982	0.05027	0
190	0.5824	0.01878	0
191	0.58044	0.024087	0
192	0.58513	0.01153	0
193	0.564	0.063861	0
194	0.55951	0.073064	0
195	0.5434	0.10542	0
196	0.54107	0.1095	0
197	0.54513	0.10211	0
198	0.53817	0.1149	0
199	0.50406	0.17183	0
200	0.50342	0.17278	0
