"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.62859	-0.5	0
1	0.37572	-0.5	0
2	0.63057	0.5	0
3	-0.37469	0.5	0
4	-0.53391	-0.1226	0
5	-0.53399	-0.12282	0
6	-0.53402	-0.12297	0
7	-0.53569	-0.12866	0
8	-0.53578	-0.12895	0
9	-0.53734	-0.13434	0
10	-0.53776	-0.13608	0
11	-0.53593	-0.12939	0
12	-0.53683	-0.13228	0
13	-0.40585	0.33123	0
14	-0.40598	0.33081	0
15	-0.3891	0.40415	0
16	-0.38972	0.40069	0
17	-0.39078	0.39691	0
18	-0.39159	0.39354	0
19	-0.389	0.40471	0
20	-0.39303	0.38632	0
21	-0.39349	0.38457	0
22	-0.39282	0.3873	0
23	-0.39164	0.39329	0
24	-0.39166	0.3932	0
25	-0.39714	0.36806	0
26	-0.39753	0.36634	0
27	-0.40327	0.34263	0
28	-0.40373	0.34052	0
29	-0.40249	0.34595	0
30	-0.40274	0.34482	0
31	-0.40959	0.31604	0
32	-0.40989	0.31486	0
33	-0.40906	0.31859	0
34	-0.40815	0.32205	0
35	-0.40823	0.32168	0
36	-0.42051	0.27363	0
37	-0.42136	0.27012	0
38	-0.4202	0.2749	0
39	-0.42383	0.26095	0
40	-0.42473	0.25775	0
41	-0.42613	0.25261	0
42	-0.42689	0.24985	0
43	-0.42761	0.24679	0
44	-0.42833	0.2442	0
45	-0.42864	0.24311	0
46	-0.43037	0.23653	0
47	-0.43083	0.23483	0
48	-0.42891	0.24222	0
49	-0.43748	0.21004	0
50	-0.43751	0.20993	0
51	-0.43761	0.20958	0
52	-0.4356	0.21701	0
53	-0.43602	0.2155	0
54	-0.43649	0.21373	0
55	-0.4336	0.22434	0
56	-0.4346	0.22056	0
57	-0.4353	0.21818	0
58	-0.43354	0.22455	0
59	-0.42974	0.23902	0
60	-0.43153	0.23195	0
61	-0.43186	0.2309	0
62	-0.43253	0.22854	0
63	-0.42501	0.2564	0
64	-0.4258	0.25373	0
65	-0.42333	0.2628	0
66	-0.42152	0.26945	0
67	-0.42178	0.26844	0
68	-0.42717	0.24878	0
69	-0.42593	0.25332	0
70	-0.42274	0.26517	0
71	-0.43884	0.20514	0
72	-0.43959	0.20225	0
73	-0.451	0.16088	0
74	-0.45193	0.15798	0
75	-0.44949	0.16631	0
76	-0.44999	0.16447	0
77	-0.44874	0.16915	0
78	-0.44912	0.16767	0
79	-0.44285	0.19047	0
80	-0.44301	0.18966	0
81	-0.44545	0.18107	0
82	-0.44569	0.18023	0
83	-0.44736	0.1738	0
84	-0.44775	0.17246	0
85	-0.44828	0.17087	0
86	-0.43858	0.20607	0
87	-0.44008	0.20048	0
88	-0.48969	0.026243	0
89	-0.49091	0.022391	0
90	-0.4874	0.034125	0
91	-0.48843	0.030888	0
92	-0.48964	0.026382	0
93	-0.48715	0.035002	0
94	-0.47516	0.076013	0
95	-0.47585	0.073751	0
96	-0.47409	0.079743	0
97	-0.47414	0.079553	0
98	-0.557	-0.20078	0
99	-0.55761	-0.20295	0
100	-0.5588	-0.20701	0
101	-0.56018	-0.21124	0
102	-0.56041	-0.21204	0
103	-0.56152	-0.21602	0
104	-0.56311	-0.22159	0
105	-0.56378	-0.22392	0
106	-0.56442	-0.22604	0
107	-0.56209	-0.21826	0
108	-0.56262	-0.22009	0
109	-0.56028	-0.21153	0
110	-0.55209	-0.18471	0
111	-0.55334	-0.18852	0
112	-0.55433	-0.19192	0
113	-0.55543	-0.1955	0
114	-0.55845	-0.20582	0
115	-0.55381	-0.19018	0
116	-0.55546	-0.1956	0
117	-0.55552	-0.1958	0
118	-0.55653	-0.1993	0
119	-0.58548	-0.30042	0
120	-0.58566	-0.30096	0
121	-0.58706	-0.30528	0
122	-0.58423	-0.29578	0
123	-0.58528	-0.29961	0
124	-0.59095	-0.31959	0
125	-0.59169	-0.32219	0
126	-0.58724	-0.30596	0
127	-0.58826	-0.30987	0
128	-0.58865	-0.31119	0
129	-0.58932	-0.31399	0
130	-0.58967	-0.31616	0
131	-0.59032	-0.31812	0
132	-0.58306	-0.29172	0
133	-0.58319	-0.29217	0
134	-0.56488	-0.22755	0
135	-0.56535	-0.22918	0
136	-0.56593	-0.23127	0
137	-0.56749	-0.23693	0
138	-0.56816	-0.23955	0
139	-0.56689	-0.23457	0
140	-0.56712	-0.23535	0
141	-0.54734	-0.16819	0
142	-0.5477	-0.16942	0
143	-0.54799	-0.17031	0
144	-0.54977	-0.17621	0
145	-0.54978	-0.17625	0
146	-0.54564	-0.16246	0
147	-0.54611	-0.16401	0
148	-0.4335	0.2247	0
149	-0.44657	0.17694	0
150	-0.44654	0.17704	0
151	-0.45073	0.16182	0
152	-0.46829	0.10025	0
153	-0.46887	0.098074	0
154	-0.46915	0.096981	0
155	-0.46951	0.095856	0
156	-0.47107	0.090757	0
157	-0.47129	0.090064	0
158	-0.47015	0.093613	0
159	-0.47141	0.089609	0
160	-0.47219	0.086475	0
161	-0.47266	0.084779	0
162	-0.47315	0.083055	0
163	-0.45739	0.13848	0
164	-0.45758	0.13785	0
165	-0.45852	0.13447	0
166	-0.45896	0.13289	0
167	-0.45946	0.13115	0
168	-0.46041	0.12766	0
169	-0.4578	0.13703	0
170	-0.46041	0.12765	0
171	-0.46042	0.12762	0
172	-0.46139	0.12412	0
173	-0.46186	0.12224	0
174	-0.46584	0.10881	0
175	-0.4664	0.10702	0
176	-0.46274	0.11916	0
177	-0.46338	0.11727	0
178	-0.46227	0.12068	0
179	-0.45281	0.15463	0
180	-0.45337	0.1527	0
181	-0.45377	0.1513	0
182	-0.45404	0.15031	0
183	-0.45576	0.14418	0
184	-0.4566	0.14122	0
