"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.54069	-0.5	0
1	0.47692	-0.5	0
2	0.50934	0.5	0
3	-0.47678	0.5	0
4	-0.49802	0.11608	0
5	-0.49914	0.10946	0
6	-0.53468	-0.44558	0
7	-0.53581	-0.45291	0
8	-0.53718	-0.4619	0
9	-0.5373	-0.4627	0
10	-0.53417	-0.44358	0
11	-0.53379	-0.441	0
12	-0.53709	-0.46136	0
13	-0.53875	-0.47146	0
14	-0.53915	-0.47539	0
15	-0.53977	-0.49112	0
16	-0.54014	-0.4964	0
17	-0.53988	-0.48599	0
18	-0.52994	-0.4191	0
19	-0.53098	-0.42576	0
20	-0.52183	-0.38063	0
21	-0.52303	-0.38737	0
22	-0.51765	-0.36114	0
23	-0.51919	-0.3686	0
24	-0.49122	0.37861	0
25	-0.49208	0.37333	0
26	-0.53192	-0.43032	0
27	-0.53289	-0.43474	0
28	-0.52951	-0.41642	0
29	-0.52876	-0.41379	0
30	-0.53988	-0.48101	0
31	-0.50763	-0.26907	0
32	-0.50779	-0.27473	0
33	-0.50824	-0.28603	0
34	-0.50834	-0.29151	0
35	-0.50805	-0.28047	0
36	-0.50852	-0.11417	0
37	-0.50832	-0.11925	0
38	-0.50671	-0.15033	0
39	-0.50671	-0.152	0
40	-0.5084	-0.093824	0
41	-0.50852	-0.10092	0
42	-0.50862	-0.10369	0
43	-0.50838	-0.091187	0
44	-0.50832	-0.092077	0
45	-0.50878	-0.10988	0
46	-0.5054	-0.16962	0
47	-0.50544	-0.17154	0
48	-0.50399	-0.18744	0
49	-0.50398	-0.19247	0
50	-0.50445	-0.18137	0
51	-0.50517	-0.173	0
52	-0.50779	-0.13313	0
53	-0.50725	-0.14235	0
54	-0.50644	-0.15396	0
55	-0.50575	-0.16168	0
56	-0.508	-0.040711	0
57	-0.50809	-0.046318	0
58	-0.50819	-0.064709	0
59	-0.50812	-0.06564	0
60	-0.50796	-0.05615	0
61	-0.5246	-0.39386	0
62	-0.52542	-0.397	0
63	-0.52591	-0.40008	0
64	-0.52716	-0.40669	0
65	0.49926	-0.021077	0
66	0.49984	-0.013632	0
67	0.50305	0.10723	0
68	0.50368	0.11359	0
69	0.50265	0.10228	0
70	0.50209	0.097467	0
71	0.50005	0.025589	0
72	0.50035	0.032406	0
73	0.5001	0.010836	0
74	0.50004	0.017093	0
75	0.50124	0.059839	0
76	0.50104	0.065319	0
77	0.50106	0.070442	0
78	0.50098	0.053611	0
79	0.5007	0.046573	0
80	0.50139	0.05035	0
81	0.50037	0.035859	0
82	0.50039	0.04212	0
83	0.49996	0.022832	0
84	0.49121	-0.20018	0
85	0.49158	-0.19248	0
86	0.4913	-0.22625	0
87	0.49116	-0.22151	0
88	0.49127	-0.20475	0
89	0.50133	0.076339	0
90	0.50007	-0.011833	0
91	0.50001	-0.0093383	0
92	0.50023	-0.0023474	0
93	0.50003	0.0025542	0
94	0.49996	0.0072687	0
95	0.49664	-0.057498	0
96	0.49722	-0.052046	0
97	0.49831	-0.045783	0
98	0.49868	-0.042946	0
99	0.49917	-0.035578	0
100	0.49957	-0.031637	0
101	0.49579	-0.068433	0
102	0.49636	-0.062376	0
103	0.49514	-0.090987	0
104	0.49503	-0.084944	0
105	0.49161	-0.1904	0
106	0.49124	-0.21082	0
107	0.49178	-0.18048	0
108	0.49281	-0.17533	0
109	0.49171	-0.18816	0
110	0.49323	-0.17189	0
111	0.49128	-0.2158	0
112	0.4942	-0.16109	0
113	0.49471	-0.15419	0
114	0.49468	-0.13999	0
115	0.49474	-0.13437	0
116	0.49496	-0.15049	0
117	0.49498	-0.14415	0
118	0.49453	-0.10082	0
119	0.49455	-0.09606	0
120	0.49454	-0.12048	0
121	0.49467	-0.11521	0
122	0.49469	-0.10953	0
123	0.49408	-0.1243	0
124	0.4948	-0.10585	0
