"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.56977	-0.5	0
1	0.43159	-0.5	0
2	0.56986	0.5	0
3	-0.42873	0.5	0
4	-0.4931	0.037782	0
5	-0.49387	0.03231	0
6	-0.49501	0.026379	0
7	-0.49582	0.021544	0
8	-0.49691	0.014068	0
9	-0.49055	0.054806	0
10	-0.49118	0.049356	0
11	-0.49231	0.043553	0
12	-0.50428	-0.02985	0
13	-0.50521	-0.036025	0
14	-0.49985	-0.004066	0
15	-0.50171	-0.013469	0
16	-0.50245	-0.018414	0
17	-0.49902	0.00058562	0
18	-0.49927	-0.0016445	0
19	-0.51472	-0.093574	0
20	-0.51543	-0.098671	0
21	-0.51381	-0.08949	0
22	-0.5189	-0.11889	0
23	-0.51924	-0.12105	0
24	-0.52214	-0.14247	0
25	-0.52347	-0.14967	0
26	-0.52078	-0.13138	0
27	-0.52079	-0.13139	0
28	-0.52645	-0.16554	0
29	-0.52669	-0.16755	0
30	-0.52738	-0.17489	0
31	-0.52796	-0.17918	0
32	-0.52481	-0.15617	0
33	-0.52509	-0.15741	0
34	-0.53597	-0.22898	0
35	-0.53738	-0.23695	0
36	-0.53012	-0.19209	0
37	-0.53127	-0.19814	0
38	-0.52078	-0.13133	0
39	-0.51599	-0.10256	0
40	-0.51646	-0.10518	0
41	-0.5176	-0.11171	0
42	-0.52183	-0.14078	0
43	-0.51132	-0.073849	0
44	-0.51152	-0.075449	0
45	-0.5128	-0.084192	0
46	-0.5076	-0.051135	0
47	-0.50922	-0.06099	0
48	-0.50594	-0.040532	0
49	-0.50717	-0.048323	0
50	-0.51119	-0.073182	0
51	-0.51037	-0.068042	0
52	-0.50941	-0.06198	0
53	-0.50353	-0.024476	0
54	-0.56802	-0.45378	0
55	-0.56814	-0.45485	0
56	-0.46897	0.18818	0
57	-0.47038	0.1796	0
58	-0.46861	0.19066	0
59	-0.46581	0.20866	0
60	-0.46696	0.20138	0
61	-0.46529	0.21179	0
62	-0.57018	-0.47834	0
63	-0.57031	-0.48586	0
64	-0.5696	-0.46916	0
65	-0.56995	-0.47435	0
66	-0.56979	-0.49982	0
67	-0.57051	-0.48775	0
68	-0.56983	-0.49875	0
69	-0.56822	-0.45552	0
70	-0.56932	-0.46485	0
71	-0.56444	-0.42276	0
72	-0.56534	-0.43096	0
73	-0.56239	-0.40342	0
74	-0.5627	-0.40545	0
75	0.48968	-0.067112	0
76	0.49103	-0.057222	0
77	0.49667	-0.024359	0
78	0.49672	-0.024052	0
79	0.52834	0.17472	0
80	0.52952	0.18206	0
81	0.53215	0.19954	0
82	0.53314	0.20543	0
83	0.52988	0.18505	0
84	0.52493	0.15409	0
85	0.52591	0.16117	0
86	0.52423	0.14904	0
87	0.52371	0.14457	0
88	0.52182	0.13297	0
89	0.52288	0.13812	0
90	0.51732	0.10546	0
91	0.51769	0.10761	0
92	0.51914	0.11692	0
